"New Category Structure from May 16, 2023 - US","","","","","",""
"","","","","","",""
"L1","L2","L3","L4","L5","L6","Category ID"
"","","","Sign Stands","","","183896"
"","","","Sign Stencils","","","183897"
"","","","Parking Lot Signs & Stencils","","","183892"
"","","","Safety Signs & Placards","","","183898"
"","","","Traffic Control Signs","","","183899"
"","","","Strobe & Beacon Lights","","","109614"
"","","","Traffic Lights","","","183901"
"","","","Speed Bumps","","","183903"
"","","","Other Safety Signs & Traffic Control","","","183904"
"","Fasteners & Hardware","","","","","183900"
"","","Brackets & Joining Plates","","","","109490"
"","","Clamps, Ties & Cords","","","","183949"
"","","","Hose & Cable Clamps","","","183950"
"","","","Cable Ties","","","57007"
"","","","Shock Cords & Bungees","","","109492"
"","","Extension & Compression Springs","","","","183948"
"","","Fastener Anchors","","","","183914"
"","","","Drywall Anchors","","","183915"
"","","","Lag Shields","","","183916"
"","","","Spring Anchors","","","183917"
"","","","Toggle Bolts","","","183918"
"","","","Wedge & Sleeve Anchors","","","183919"
"","","Fastener Nuts","","","","183905"
"","","","Acorn Nuts & Cap Nuts","","","183906"
"","","","Castle Nuts & Slotted Nuts","","","183907"
"","","","Hex Nuts","","","183908"
"","","","Keps Nuts & Washer Nuts","","","183909"
"","","","Square Nuts","","","183910"
"","","","Tee Nuts","","","183911"
"","","","Wing Nuts","","","183912"
"","","Fastening Pins","","","","183931"
"","","","Clevis Pins","","","183932"
"","","","Detent & Hitch Pins","","","183933"
"","","","Dowel Pins","","","183934"
"","","","Hairpin & Straight Cotter Pins","","","183936"
"","","","Spring Pins","","","183937"
"","","","Tab-Lock & Safety Pins","","","183938"
"","","","Taper Pins","","","183939"
"","","Hardware Washers","","","","42904"
"","","Hooks & Eyes","","","","260411"
"","","Magnets","","","","119111"
"","","Nails & Staples","","","","183920"
"","","","Standard Nails","","","183921"
"","","","Nail Gun Nails","","","183922"
"","","","Staple Gun Staples","","","183923"
"","","Retaining Rings","","","","183947"
"","","Rivets","","","","183925"
"","","","Blind & Drive Rivets","","","183926"
"","","","Push-In Rivets","","","183927"
"","","","Solid Rivets","","","183928"
"","","","Split Rivets","","","183929"
"","","","Tubular & Semi-Tubular Rivets","","","183930"
"","","Screws & Bolts","","","","26217"
"","","Standoffs & Spacers","","","","183941"
"","","","Threaded Standoffs","","","183942"
"","","","Unthreaded Spacers","","","183943"
"","","","Standoff & Spacer Mixed Sets","","","183944"
"","","Threaded Inserts","","","","183945"
"","","Threaded Rods & Threaded Studs","","","","183940"
"","","Other Fasteners & Hardware","","","","42905"
"","Fuel & Energy","","","","","159693"
"","","Alternative Fuel & Energy","","","","166663"
"","","","Biodiesel Equipment","","","159694"
"","","","Hydrogen Power","","","166664"
"","","","Solar Power","","","166665"
"","","","Wind Power","","","166666"
"","","","Other Alternative Fuel & Energy","","","166667"
"","","Oil & Gas","","","","57112"
"","","","Dispensers & Accessories","","","71495"
"","","","Drilling Equipment","","","36349"
"","","","Supplies","","","57113"
"","","","Other Oil & Gas","","","57114"
"","","Power & Utilities","","","","57115"
"","","","Belts, Straps & Harnesses","","","36353"
"","","","Cable Tools & Supplies","","","57116"
"","","","Climbing Spikes & Gaffs","","","71496"
"","","","Gas & Water Meters","","","57117"
"","","","Other Power & Utilities","","","57118"
"","","Other Fuel & Energy","","","","166668"
"","Healthcare, Lab & Dental","","","","","11815"
"","","Handpieces & Instruments","","","","185155"
"","","","Biopsy & Surgical Punches","","","184550"
"","","","Dental Curettes & Scalers","","","185156"
"","","","Dental Curing Lights","","","63994"
"","","","Dental Handpieces","","","185157"
"","","","Dental Handpiece Control Units","","","185158"
"","","","Dental Handpiece Motors & Turbines","","","185159"
"","","","Dental Instruments","","","185160"
"","","","Dental & Medical Calipers","","","185161"
"","","","Endodontic Files, Broaches & Reamers","","","185162"
"","","","Endodontic Obturation Systems","","","185163"
"","","","Endoscope Systems & Camera Control Units","","","185164"
"","","","Endoscopes","","","31460"
"","","","Forceps, Hemostats & Needle Holders","","","19327"
"","","","Gutta Percha Cutters & Trimmers","","","185165"
"","","","Laparoscopic Instruments","","","184518"
"","","","Laryngoscopes","","","104227"
"","","","Medical Scissors & Shears","","","185166"
"","","","Orthodontic Pliers","","","185167"
"","","","Otoscopes & Ophthalmoscopes","","","31472"
"","","","Reflex Hammers","","","185168"
"","","","Scalpels, Surgical Blades & Handles","","","104229"
"","","","Specula & Sounds","","","185169"
"","","","Surgical & Orthopedic Instruments","","","185170"
"","","","Surgical & Orthopedic Saws","","","184552"
"","","","Surgical Handpieces","","","184517"
"","","","Surgical Retractors","","","159689"
"","","","Ultrasonic Scalers","","","71379"
"","","","Other Handpieces & Instruments","","","185171"
"","","Medical & Lab Equipment, Devices","","","","184520"
"","","","Absorbance Detectors","","","185172"
"","","","Acoustic/Traditional Stethoscopes","","","185173"
"","","","AED Trainers & Training Pads","","","185174"
"","","","Aesthetic & Cosmetic Machines","","","184527"
"","","","Anesthesia Machines","","","184525"
"","","","Autoclaves & Sterilizers","","","48722"
"","","","Autorefractors, Keratometers & Tonometers","","","185176"
"","","","Autosamplers","","","185177"
"","","","Bioreactors & Fermenters","","","185178"
"","","","Blood/Hematology Analyzers","","","185179"
"","","","Blood Cell Counters","","","185180"
"","","","Blood/Fluid Warming Systems","","","184536"
"","","","Blood Pressure Machines & Monitors","","","100004"
"","","","Bone Densitometers","","","184538"
"","","","CAD/CAM Acquisition Scanners & Milling Machines","","","185181"
"","","","Centrifuges","","","26232"
"","","","Chiropractic Activators/Adjusting Tools","","","185182"
"","","","Chromatography Systems","","","185183"
"","","","Colposcopes","","","185184"
"","","","Continuous Passive Motion (CPM) Machines","","","185185"
"","","","Corneal Topographers","","","185186"
"","","","Defibrillators, AED Pads & Batteries","","","100011"
"","","","Density Meters/Densometers","","","185187"
"","","","Dental Air Compressors & Vacuum Systems","","","185188"
"","","","Dental Amalgamators","","","63993"
"","","","Dental Dust Collectors","","","185189"
"","","","Dental Lasers","","","185190"
"","","","Dialysis Machines","","","184531"
"","","","Dissolved Oxygen Meters","","","185191"
"","","","ECG & EKG Machines","","","100005"
"","","","EEG Systems","","","184522"
"","","","Electrocautery & Electrosurgery","","","185192"
"","","","Electronic Apex Locators","","","185193"
"","","","Electronic Stethoscopes","","","185194"
"","","","Environmental Test Chambers","","","185195"
"","","","Fetal Dopplers & Vascular Dopplers","","","117028"
"","","","Fiber Optic Illuminators/Light Sources","","","185196"
"","","","Fundus Cameras","","","185197"
"","","","Gel Electrophoresis Systems","","","185198"
"","","","Heating Mantles","","","119116"
"","","","Hyperbaric Chambers","","","184529"
"","","","Insufflators","","","113733"
"","","","Intraoral Cameras","","","185199"
"","","","Lab Evaporators","","","119114"
"","","","Lab Freezers & Refrigerators","","","48731"
"","","","Lab Furnaces & Ovens","","","185200"
"","","","Lab Incubators","","","185201"
"","","","Lab Jacks/Lifting Platforms","","","185202"
"","","","Lab Lasers","","","185203"
"","","","","Diode Lasers","","185204"
"","","","","Dye Lasers","","185205"
"","","","","Fiber Lasers","","185206"
"","","","","Gas Lasers","","185207"
"","","","","Solid-State Lasers","","185208"
"","","","Lab Mixers, Shakers & Stirrers","","","185209"
"","","","","Magnetic Stirrers & Hotplate Stirrers","","185210"
"","","","","Homogenizers","","185211"
"","","","","Orbital, Platform & Vortex Shakers","","119120"
"","","","","Overhead Stirrers","","185212"
"","","","","Test Tube Rockers","","185213"
"","","","","Other Lab Mixers","","185214"
"","","","Lab Presses","","","185215"
"","","","Lab Reactors","","","185216"
"","","","Lab Refractometers","","","185217"
"","","","Lab Scales & Beam Balances","","","185218"
"","","","Lensmeters","","","185219"
"","","","Luminometers","","","185220"
"","","","Medical & Lab Pumps","","","184511"
"","","","Medical Thermometers","","","104224"
"","","","Microarray Scanners","","","185221"
"","","","Microplate Washers","","","185222"
"","","","Microscopes","","","185223"
"","","","Microtomes","","","159697"
"","","","Model Trimmers","","","185224"
"","","","Moisture Analyzers","","","185225"
"","","","MRI Systems","","","184541"
"","","","Nurse Call Equipment","","","184508"
"","","","Orthopedic Goniometers","","","185227"
"","","","Pachymeters","","","185228"
"","","","Particle Counters","","","185229"
"","","","Patient Monitors","","","100006"
"","","","Patient Warming Units","","","185230"
"","","","PCR Thermal Cyclers","","","185231"
"","","","Phoropters & Manual Refractors","","","185232"
"","","","Phototherapy Lights & Systems","","","184535"
"","","","Pill & Capsule Counters","","","185234"
"","","","Pipette & Micropipette Pullers","","","185235"
"","","","Pipettors/Automatic Pipettes","","","185236"
"","","","Pulse Oximeters","","","31465"
"","","","Pupilometers","","","159686"
"","","","Slit Lamps","","","71388"
"","","","Solvent Recyclers","","","185237"
"","","","Spectrometers & Spectrophotometers","","","185238"
"","","","Spinal Traction Units","","","185239"
"","","","Spirometers & Peak Flow Meters","","","185240"
"","","","Surgical Lasers","","","185241"
"","","","TENS Machines & Electrical Muscle Stimulators","","","184530"
"","","","Tissue Processors","","","185242"
"","","","Titrators","","","185175"
"","","","Training Manikins & Patient Simulators","","","100012"
"","","","Transilluminators & UV Crosslinkers","","","185243"
"","","","Tympanometers & Audiometers","","","185244"
"","","","Ultrasonic Cleaners","","","185245"
"","","","Ultrasound Machines","","","184542"
"","","","Ultrasound Therapy Units","","","185246"
"","","","Urine Analyzers","","","185247"
"","","","Vacuum Regulators","","","184532"
"","","","Ventilators","","","185248"
"","","","Viscometers & Rheometers","","","185249"
"","","","Vision Screeners & Visual Field Analyzers","","","185250"
"","","","Water Baths, Circulators & Chillers","","","185251"
"","","","Wax Heaters","","","185252"
"","","","X-Ray Machines & Equipment","","","184537"
"","","","","C-Arms & Tables","","184539"
"","","","","Digital X-Ray Sensors","","185253"
"","","","","X-Ray Film Processors","","184543"
"","","","","X-Ray Film Viewers/Illuminators","","185254"
"","","","","X-Ray Machines/Generators","","184540"
"","","","","Other X-Ray Equipment","","185255"
"","","","Other Medical & Lab Equipment","","","185256"
"","","Medical/Lab Equipment Attachments & Accessories","","","","184512"
"","","","Blood Pressure Cuffs & Hoses","","","184514"
"","","","Calibration Weights","","","48727"
"","","","Centrifuge Rotors & Buckets","","","185257"
"","","","Chromatography Columns & Reservoirs","","","185258"
"","","","Dental Handpiece Cartridges & Rotors","","","185259"
"","","","Dental Handpiece Couplers & Adapters","","","185260"
"","","","Dental Nitrous Oxide Flowmeters","","","185261"
"","","","Electrode Pads","","","184565"
"","","","Foot Pedals","","","185262"
"","","","Lab Clamps & Retort Stands","","","185263"
"","","","Lamps, Bulbs & Laser Components","","","185264"
"","","","","Deuterium Lamps","","185265"
"","","","","Hollow Cathode Lamps","","185266"
"","","","","Laser Diodes","","185267"
"","","","","Laser Modules & Heads","","185268"
"","","","","Laser Rods & Crystals","","185269"
"","","","","Other Medical/Lab Equipment Lamps & Bulbs","","185270"
"","","","Light Guides, Ring Lights & Rod Tips","","","185271"
"","","","Magnetic Stir Bars","","","185272"
"","","","Medical & Lab Equipment Power Supplies","","","111543"
"","","","Medical Cables & Cords","","","184513"
"","","","Medical Sensors & Ultrasound Probes","","","184515"
"","","","Microscope Parts & Accessories","","","185273"
"","","","","Microscope Camera & Lens Adapters","","185274"
"","","","","Microscope Eyepieces","","185275"
"","","","","Microscope Eye Cups/Guards","","185276"
"","","","","Microscope Micrometers","","185277"
"","","","","Microscope Objectives","","185278"
"","","","","Microscope Objective Holders/Turrets","","185279"
"","","","","Microscope Slides & Slide Covers","","26418"
"","","","","Other Microscope Parts & Accessories","","185280"
"","","","Photomultiplier Tubes","","","185281"
"","","","Stethoscope Parts & Accessories","","","109444"
"","","","X-Ray Plate & Sensor Holders","","","185282"
"","","","Other Medical/Lab Equipment Attachments","","","185283"
"","","Medical, Lab & Dental Supplies","","","","185284"
"","","","Anatomical Models","","","185285"
"","","","Anatomical, Eye/Vision & Reference Charts","","","185286"
"","","","Articulating Paper","","","185287"
"","","","Burn & Wound Dressings","","","185289"
"","","","Cheek Retractors & Mouth Props","","","257804"
"","","","Conductive & Ultrasound Gels","","","184566"
"","","","Contouring, Polishing & Finishing Strips","","","257805"
"","","","Cotton Rolls, Dispensers & Holders","","","257806"
"","","","CPR Masks & Face Shields","","","257807"
"","","","Crowns & Veneers","","","257808"
"","","","Dental Articulators","","","106367"
"","","","Dental Burs, Polishers & Finishers","","","257809"
"","","","Dental Cements","","","257810"
"","","","Dental Etchants, Primers & Bonding Agents","","","257811"
"","","","Dental Face Shields, Head Lights & Loupes","","","257812"
"","","","Dental Impression Materials, Trays & Dispensers","","","106368"
"","","","Dental Matrix Systems & Wedges","","","257814"
"","","","Dental Patient Bibs & Bib Clips","","","257815"
"","","","Diagnostic Penlights","","","257817"
"","","","Disposable Face Masks","","","257818"
"","","","Disposable Gloves","","","31474"
"","","","EMS/Trauma Bags & First Aid Kits","","","257819"
"","","","Endodontic Posts","","","257820"
"","","","Filter Paper","","","257821"
"","","","Gingival Retraction Cords","","","257822"
"","","","Glass Stirring Rods","","","257823"
"","","","Glassware & Plasticware","","","257824"
"","","","","Beakers","","257825"
"","","","","Centrifuge Tubes","","257826"
"","","","","Cuvettes","","257827"
"","","","","Funnels","","257828"
"","","","","Graduated Cylinders","","257829"
"","","","","Jars & Reagent Bottles","","257830"
"","","","","Lab Flasks","","257831"
"","","","","Lab Glass Adapters & Connectors","","257832"
"","","","","Petri Dishes/Culture Plates","","257833"
"","","","","Pipettes","","26417"
"","","","","Test Tubes","","257834"
"","","","","Vials","","257835"
"","","","","Other Medical & Lab Glassware","","257836"
"","","","Gutta Percha Points & Absorbent Paper Points","","","257837"
"","","","Instrument Sharpeners","","","257839"
"","","","Intraoral Photographic Mirrors","","","257840"
"","","","Lab Burners","","","257841"
"","","","Lab Chemicals","","","104233"
"","","","Lab Distillation Kits & Apparatus","","","257842"
"","","","Lead Aprons","","","257843"
"","","","Micro Applicators","","","257844"
"","","","Orthodontic Arch Wire","","","257845"
"","","","Orthodontic Brackets, Bands & Buccal Tubes","","","257846"
"","","","Orthodontic Coil Springs","","","257847"
"","","","Orthodontic Headgear","","","257848"
"","","","Orthodontic Ligatures, Elastics & Power Chains","","","257849"
"","","","Orthodontic Wax","","","257850"
"","","","Orthopedic Nails, Pins & Wire","","","257851"
"","","","Ostomy Pouches & Support Belts","","","184561"
"","","","Ostomy Wafers/Skin Barriers","","","184563"
"","","","pH Test Strips","","","257852"
"","","","Phosphor Plates & Barrier Envelopes","","","257853"
"","","","Prophy Brushes, Cups & Angles","","","257854"
"","","","Prophy Paste","","","257855"
"","","","Retainer & Denture Cases","","","257856"
"","","","Rubber Dams, Clamps, Frames & Punches","","","257857"
"","","","Saliva Ejectors","","","257858"
"","","","Scaler Inserts/Tips","","","257859"
"","","","Shade Guides","","","257860"
"","","","Sharps Containers","","","257861"
"","","","Shoe Covers","","","257862"
"","","","Sterilization Trays & Cases","","","184564"
"","","","Stoppers, Bungs & Seals","","","257863"
"","","","Surgical Gowns","","","257864"
"","","","Surgical Mesh","","","257865"
"","","","Surgical Tape","","","257866"
"","","","Syringes","","","31476"
"","","","Syringe Filters","","","257867"
"","","","Tooth Whitening Gels & Kits","","","257868"
"","","","Tourniquets","","","257869"
"","","","Trial Lens Sets","","","257870"
"","","","Tube Racks","","","257871"
"","","","Typodonts & Typodont Teeth","","","257872"
"","","","X-Ray Markers","","","257873"
"","","","Other Medical, Lab & Dental Supplies","","","257874"
"","","Medical, Lab & Caregiving Furniture","","","","184500"
"","","","Chiropractic, Flexion & Traction Tables","","","257875"
"","","","Commodes, Shower Chairs & Transfer Benches","","","257876"
"","","","Dental Examination Chairs","","","257877"
"","","","Examination & Operation Tables","","","184502"
"","","","Fume Hoods & Biological Safety Cabinets","","","257878"
"","","","Homecare & Hospital Beds","","","257879"
"","","","IV Poles","","","257880"
"","","","Lab Cabinets & Casework","","","257881"
"","","","Lab Frames, Rods & Clamps","","","257882"
"","","","Medical Carts & Stands","","","184501"
"","","","Patient Lifts & Slings","","","184505"
"","","","Patient Privacy Curtains","","","257883"
"","","","Stretchers & Backboards","","","159691"
"","","","Surgical & Examination Lights","","","257884"
"","","","Vibration Isolation Tables","","","257885"
"","","","Other Medical, Lab & Caregiving Furniture","","","257886"
"","","Other Healthcare, Lab & Dental","","","","3179"
"","Heavy Equipment, Parts & Attachments","","","","","257887"
"","","Heavy Equipment","","","","177641"
"","","","Asphalt & Concrete Pavers","","","73121"
"","","","Backhoe Loaders","","","95493"
"","","","Combines & Harvesters","","","73094"
"","","","Compactors & Asphalt Rollers","","","41492"
"","","","Cranes","","","25253"
"","","","Crawler Dozers & Loaders","","","97121"
"","","","Directional Drills","","","73120"
"","","","Excavators","","","97122"
"","","","Forklifts & Telehandlers","","","97185"
"","","","Forwarders & Skidders","","","259041"
"","","","Mining Equipment","","","92152"
"","","","Motor Graders","","","61568"
"","","","Scissor & Boom Lifts","","","97123"
"","","","Skid Steer Loaders","","","95494"
"","","","Snow Equipment","","","259042"
"","","","Tractors","","","91953"
"","","","Trailers","","","95495"
"","","","Trenchers","","","97125"
"","","","Utility Vehicles","","","58178"
"","","","Wheel Loaders","","","58161"
"","","","Wood Chippers, Stump Grinders & Mulchers","","","63924"
"","","","Antique & Vintage Farm Equipment","","","177642"
"","","","Other Heavy Equipment","","","177643"
"","","Heavy Equipment Attachments","","","","177647"
"","","","Augers","","","66927"
"","","","Backhoe Attachments","","","66926"
"","","","Bale Spears","","","159682"
"","","","Balers","","","66879"
"","","","Blades & Box Blades","","","66876"
"","","","Booms","","","259043"
"","","","Brooms & Sweepers","","","259044"
"","","","Buckets","","","50908"
"","","","Chippers","","","259045"
"","","","Compactors","","","259046"
"","","","Couplers","","","259047"
"","","","Cultivators","","","66886"
"","","","Dump Hoppers","","","259054"
"","","","Forks & Fork Extensions","","","41488"
"","","","Grain Equipment","","","26187"
"","","","Grapples","","","259048"
"","","","Harrows","","","66887"
"","","","Harvesting Equipment","","","91954"
"","","","Hay Rakes","","","66881"
"","","","Hay Tedders","","","259049"
"","","","Hitches","","","119096"
"","","","Irrigation Equipment","","","26189"
"","","","Manure Spreaders","","","106365"
"","","","Material Handling Equipment","","","26190"
"","","","Mount Plates","","","259050"
"","","","Mowers, Mower Decks & Mower Conditioners","","","66880"
"","","","Planters","","","66883"
"","","","Plows","","","66888"
"","","","Post Hole Diggers","","","109296"
"","","","Rakes","","","259051"
"","","","Rippers","","","259052"
"","","","Seeders & Spreaders","","","66884"
"","","","Snow Blowers & Snowplows","","","159683"
"","","","Sprayers","","","159684"
"","","","Thumbs","","","259053"
"","","","Tillers & Trenchers","","","66889"
"","","","Antique & Vintage Implements","","","46570"
"","","","Other Heavy Equipment Attachments","","","11752"
"","","Heavy Equipment Parts & Accessories","","","","41489"
"","","","Adapters","","","259059"
"","","","Air Conditioning & Heating","","","259060"
"","","","Air Intake & Fuel Delivery","","","259093"
"","","","Belts","","","259064"
"","","","Brakes & Brake Parts","","","259065"
"","","","Cab Enclosures, Enclosure Parts & Glass Panels","","","259069"
"","","","Charging & Starting Systems","","","259694"
"","","","","Electrical Systems","","259085"
"","","","","Batteries, Battery Boxes & Chargers","","259063"
"","","","Complete Engines & Engine Parts","","","259088"
"","","","Doors, Door Glass & Accessories","","","259072"
"","","","Electronics","","","259086"
"","","","Engine Cooling Systems","","","259089"
"","","","Exhausts","","","259087"
"","","","Fenders, Mudguards & Hoods","","","259091"
"","","","Filters","","","259094"
"","","","Gaskets","","","259095"
"","","","Gauges","","","259096"
"","","","Gearboxes","","","259097"
"","","","Grilles & Grille Inserts","","","259099"
"","","","Hardware Parts","","","259100"
"","","","Heavy Equipment Attachment Parts","","","259693"
"","","","","Auger Bits, Drives & Accessories","","259659"
"","","","","Bale Spears & Bushings","","259062"
"","","","","Bucket Teeth, Linkage Parts, Pins & Bushings","","259067"
"","","","","Cutting Edges, Box Blade Parts & Shanks","","259066"
"","","","","Grain Drill & Planter Parts","","259098"
"","","","","Moldboards, Plowshares, Screed Plates & Discs","","259661"
"","","","","Rotary Mower Parts","","259666"
"","","","","Snowplow Parts","","259686"
"","","","","Sprayer Parts","","259671"
"","","","","Three Point Hitch Parts, Hitches & Drawbars","","259675"
"","","","","Tines","","259676"
"","","","Heavy Equipment Accessories","","","259692"
"","","","","Cameras","","259068"
"","","","","Decals & Emblems","","259070"
"","","","","Floor Liners & Mats","","259092"
"","","","","Fluids & Dipsticks","","259684"
"","","","","Heavy Equipment Paint","","259101"
"","","","","Keys, Locks & Hardware","","259657"
"","","","","Radios & Accessories","","259664"
"","","","","Ramps","","259665"
"","","","","Stabilizer Jacks","","259672"
"","","","","Steel Tarps","","259673"
"","","","","Tractor Canopies & Umbrellas","","259680"
"","","","","Trailer Ladder Racks","","259682"
"","","","","Windshield Wiper Arms & Blades","","259689"
"","","","Hydraulics","","","259081"
"","","","Ignition Systems","","","259655"
"","","","Joystick Controllers & Controller Boxes","","","259656"
"","","","Lights, Reflectors & Accessories","","","259658"
"","","","Mirrors","","","259660"
"","","","Pistons, Rings, Rods & Piston Racks","","","259690"
"","","","Power Take Off Parts","","","259662"
"","","","Power Units","","","259663"
"","","","Seals & O-Rings","","","259667"
"","","","Seats, Components, Cushions & Covers","","","259669"
"","","","Sensors","","","259670"
"","","","Steering & Power Steering","","","259674"
"","","","Trailer Axles","","","259681"
"","","","Transmission, Drivetrain & Axles","","","259073"
"","","","Valves","","","259687"
"","","","Wheels, Tires, Tracks & Parts","","","259691"
"","","","","Tires","","259677"
"","","","","Tire Accessories","","259678"
"","","","","Tracks","","259683"
"","","","","Wheels & Rims","","259688"
"","","","Antique & Vintage Equipment Parts","","","160934"
"","","","Heavy Equipment Manuals & Books","","","257888"
"","","","Other Heavy Equipment Parts & Accessories","","","97126"
"","HVAC & Refrigeration","","","","","42909"
"","","Heating & Cooling Appliances","","","","260499"
"","","","Air Cleaner & Purifier Units","","","260442"
"","","","Humidifier & Dehumidifier Units","","","183955"
"","","","Portable Air Conditioners","","","124616"
"","","","Portable Evaporative Coolers","","","260500"
"","","","Portable Fans","","","260498"
"","","","PTAC Air Conditioners","","","260501"
"","","","Space Heaters","","","183956"
"","","","Window & Wall Air Conditioners","","","260502"
"","","HVAC Systems","","","","109477"
"","","","Air Conditioner & Furnace Split Systems","","","260503"
"","","","Boilers","","","260417"
"","","","Central Air Conditioners","","","183953"
"","","","Central Furnaces","","","184291"
"","","","Central Heating Radiators","","","260418"
"","","","Ducted Evaporative Coolers","","","260419"
"","","","Ductless Mini Split Systems","","","260420"
"","","","Rooftop Unit Air Conditioners","","","260421"
"","","","Underfloor Heating Systems","","","260422"
"","","Refrigeration Equipment","","","","260062"
"","","","Air Coolers","","","260063"
"","","","Chillers","","","260064"
"","","","Cooling Towers","","","260065"
"","","","Dry & Fluid Coolers","","","260066"
"","","HVAC & Refrigeration Components","","","","260068"
"","","","Air Handlers","","","124619"
"","","","Compressors","","","183960"
"","","","Condensers","","","183961"
"","","","Evaporators","","","124621"
"","","","Heat Exchangers","","","109484"
"","","","Refrigerants","","","260069"
"","","","","MO99","","260071"
"","","","","R-12","","260074"
"","","","","R-123","","260075"
"","","","","R-1234yf","","260076"
"","","","","R-12a","","260077"
"","","","","R-134a","","260078"
"","","","","R-22","","260079"
"","","","","R-290","","260080"
"","","","","R-401a","","260081"
"","","","","R-401b","","260082"
"","","","","R-402a","","260083"
"","","","","R-402b","","260084"
"","","","","R-404a","","260085"
"","","","","R-407a","","260086"
"","","","","R-407c","","260087"
"","","","","R-408a","","260088"
"","","","","R-409a","","260089"
"","","","","R-410a","","260090"
"","","","","R-414b","","260091"
"","","","","R-416a","","260092"
"","","","","R-422b","","260093"
"","","","","R-422c","","260094"
"","","","","R-422d","","260095"
"","","","","R-427a","","260096"
"","","","","R-448a","","260097"
"","","","","R-502","","260099"
"","","","","R-507","","260100"
"","","","","R-600a","","260101"
"","","","Refrigeration Compressor Racks","","","260102"
"","","","Refrigeration Systems","","","260103"
"","","HVAC & Refrigeration: Parts & Accessories","","","","53295"
"","","","Accumulators","","","260105"
"","","","Boiler Expansion Tanks","","","185123"
"","","","Coil & Surface Protectants","","","260106"
"","","","Drain Pans","","","260423"
"","","","Duct Mounted Air Purifiers & Media Cleaners","","","260424"
"","","","Duct Mounted Humidifiers & Dehumidifiers","","","260425"
"","","","Electrical Heat Strips","","","260426"
"","","","Filter Driers","","","183965"
"","","","Gas Conversion Kits","","","260427"
"","","","Hot Surface Ignitors","","","260428"
"","","","HVAC Air Filters","","","183959"
"","","","HVAC Capacitors","","","260429"
"","","","HVAC Damper Actuators","","","183963"
"","","","HVAC Dampers","","","183962"
"","","","HVAC Ducting & Duct Hoses","","","185124"
"","","","HVAC Pumps","","","260430"
"","","","HVAC Sensors","","","53301"
"","","","HVAC Vents","","","185125"
"","","","HVAC & Refrigeration Adapters","","","260107"
"","","","HVAC & Refrigeration Cartridge Heaters","","","260108"
"","","","HVAC & Refrigeration Cartridges","","","260109"
"","","","HVAC & Refrigeration Coil Assemblies","","","260110"
"","","","HVAC & Refrigeration Coils","","","260111"
"","","","HVAC & Refrigeration Contactors","","","260112"
"","","","HVAC & Refrigeration: Controls & Circuit Boards","","","53296"
"","","","HVAC & Refrigeration: Fans & Blowers","","","53297"
"","","","HVAC & Refrigeration Leak Sealants","","","183972"
"","","","HVAC & Refrigeration Motors","","","260113"
"","","","HVAC & Refrigeration: Pipes & Tubes","","","260114"
"","","","HVAC & Refrigeration Pressure Regulators","","","260115"
"","","","HVAC & Refrigeration Pressure Switches","","","260116"
"","","","HVAC & Refrigeration Thermostats","","","53302"
"","","","HVAC & Refrigeration Valves","","","260117"
"","","","Pilot Assemblies","","","260431"
"","","","Plenum & Filter Boxes","","","260432"
"","","","Radiator Covers","","","260433"
"","","","Refrigerant Cap Locks","","","260118"
"","","","Refrigerant Labels","","","260119"
"","","","Refrigerant Line Sets","","","260434"
"","","","Refrigeration Gaskets","","","260120"
"","","","Refrigeration Hoses","","","260121"
"","","","Refrigeration Lubricants","","","260122"
"","","","Restrictors & Orifices","","","260123"
"","","","Scale Inhibitors & Removers","","","260124"
"","","","Sight Glasses & Moisture Indicators","","","260125"
"","","","Thermocouples & Thermopiles","","","260435"
"","","","Thermostat Wires","","","260436"
"","","HVAC & Refrigeration Tools","","","","66996"
"","","","Ducting Crimpers","","","183966"
"","","","Ducting Installation Tools","","","183967"
"","","","HVAC Flush Kits","","","260437"
"","","","HVAC Installation Tools","","","260441"
"","","","HVAC & Refrigeration: Gauges & Probes","","","66998"
"","","","HVAC & Refrigeration Leak Detectors","","","53298"
"","","","Recovery Cylinder Tanks","","","260126"
"","","","Refrigerant Evacuation Pumps","","","260127"
"","","","Refrigerant Recovery Units","","","109488"
"","","","Refrigerant Replacement Kits","","","260128"
"","","","Refrigerant Scales & Meters","","","66997"
"","","","Refrigeration Tubing Tools","","","260129"
"","","Water Heaters","","","","183974"
"","","","Industrial Combination Boilers","","","260438"
"","","","Industrial Tanked Water Heaters","","","183975"
"","","","Industrial Tankless Water Heaters","","","183976"
"","","","Industrial Water Heater Parts","","","260439"
"","","","Industrial Water Heater Accessories","","","260440"
"","","Other HVAC & Refrigeration","","","","42912"
"","Hydraulics, Pneumatics, Pumps & Plumbing","","","","","183978"
"","","Air Compressors & Blowers","","","","183979"
"","","","Portable Air Compressors","","","257889"
"","","","Reciprocating Air Compressors","","","36787"
"","","","Rotary Screw Air Compressors","","","124608"
"","","","Scroll Air Compressors","","","183982"
"","","","Compressed Air Tanks","","","124607"
"","","","Positive Displacement Blowers","","","183984"
"","","","Other Air Compressors","","","41491"
"","","Air Pressure Gauges","","","","183985"
"","","Compressed Air Treatment","","","","183986"
"","","","Air Line Lubricators","","","183987"
"","","","Air Pressure Regulators","","","183988"
"","","","Compressed Air Dryers","","","183989"
"","","","Compressed Air Filters","","","183990"
"","","","Condensate Drains","","","183992"
